PERIODO LIQUIDADO,C,F,I,NC,S,V,V/R FACTURA
2001-01-01,0.0,0.0,0.0,227055.9917355372,0.0,0.0,227055.9917355372
2001-02-01,784655.0,0.0,0.0,230310.07784810127,0.0,0.0,230660.70714737513
2001-03-01,0.0,0.0,0.0,224754.62035928143,112335.0,0.0,224687.3435068821
2001-04-01,126985.0,0.0,0.0,323778.0037759597,500037.0,0.0,323765.0974230044
2001-05-01,92704.0,0.0,0.0,260969.4235074627,0.0,0.0,260864.84586699808
2001-06-01,92475.0,0.0,0.0,238194.58987341772,106980.5,0.0,237936.7580543272
2001-07-01,0.0,0.0,0.0,231434.28219013236,0.0,0.0,231434.2821901324
2001-08-01,0.0,0.0,0.0,228202.60764959903,398649.0,0.0,228412.6463339495
2001-09-01,0.0,0.0,0.0,251656.014,106083.0,0.0,251559.0299800133
2001-10-01,0.0,0.0,0.0,250884.96851851852,101598.0,0.0,250792.8729179519
2001-11-01,0.0,0.0,0.0,229786.16300940438,0.0,0.0,229786.1630094044
2001-12-01,108871.0,0.0,0.0,248232.34228607122,125846.0,0.0,247992.8572319202
2002-01-01,0.0,0.0,0.0,260436.00709639266,860680.0,0.0,260790.76122931446
2002-02-01,0.0,0.0,0.0,268943.16967509023,9651827.0,0.0,274585.3126879134
2002-03-01,48264.0,0.0,0.0,286269.66838377336,0.0,0.0,286116.5115830116
2002-04-01,55864.0,0.0,0.0,339572.5015015015,147512.0,25867.0,339099.19544364506
2002-05-01,0.0,0.0,0.0,314109.7878787879,118665.0,0.0,313868.3489808524
2002-06-01,49077.0,0.0,0.0,307677.33903884137,105324.0,34541.666666666664,306668.18426229514
2002-07-01,0.0,0.0,0.0,271099.83747831115,8683448.0,13401.0,275810.7845176199
2002-08-01,0.0,0.0,0.0,297640.8562421185,68896.0,19374.0,297146.6595342983
2002-09-01,69961.0,0.0,0.0,293734.6079027356,648416.3333333334,46161.0,293958.06299212604
2002-10-01,112525.0,0.0,0.0,310618.74452554743,112049.66666666667,25160.0,309844.5909090909
2002-11-01,39004.0,0.0,0.0,289920.4533161623,1019793.6666666666,0.0,292566.8141025641
2002-12-01,206468.42857142858,0.0,0.0,282438.1680232558,3391320.8571428573,107847.0,294466.5138248848
2003-01-01,108192.4979757085,346523.5882352941,12522242.8,110149.87272727273,327770.83157894737,16742.227272727272,275436.5019875071
2003-02-01,129175.47286821705,346523.5882352941,11924612.047619049,110162.00165016501,313322.3802083333,38413.541666666664,280876.5626450116
2003-03-01,119692.00378787878,348993.4,13904547.555555556,118691.82498072475,333016.64248704666,22961.03846153846,279055.67677881964
2003-04-01,181416.9714285714,547272.9285714285,21271743.777777776,159317.44765957448,447872.60555555555,31306.74074074074,424147.50994575047
2003-05-01,140552.08260869567,412699.9285714286,17569209.125,140034.4051647373,405582.3657142857,24802.956521739132,346627.541429475
2003-06-01,156290.30414746545,390128.5,13850370.111111112,138906.82072829132,475078.3292682927,32886.47619047619,342894.434551495
2003-07-01,140630.46153846153,390128.5,15629992.5,126944.24210526315,351068.5683060109,32144.53125,313097.52927669353
2003-08-01,180215.10041841003,390128.5,16547710.764705881,119831.32926829268,356910.0847457627,17251.291666666668,327978.8591723286
2003-09-01,139435.488,419161.3846153846,17573489.25,123365.12680851064,349938.7471910112,30180.74074074074,319193.3688969259
2003-10-01,132709.10843373495,393973.5833333333,15151914.4375,119022.10530821918,350531.88108108105,30577.652173913044,293268.2304900181
2003-11-01,142482.53913043477,363613.3846153846,18820764.533333335,147542.86473880598,239095.0606060606,18639.0,340930.47926267283
2003-12-01,155081.51308900522,1484651.0,15249327.705882354,204376.62534435262,269857.875,36992.470588235294,389126.5824847251
2004-01-01,0.0,0.0,0.0,311848.8515358362,0.0,0.0,311848.85153583623
2004-02-01,0.0,0.0,0.0,318461.33191747573,0.0,0.0,318461.3319174757
2004-03-01,0.0,0.0,0.0,308561.9561111111,0.0,0.0,308561.9561111111
2004-04-01,0.0,0.0,0.0,454332.5552375501,0.0,0.0,454332.55523755006
2004-05-01,0.0,0.0,0.0,346664.80549327354,0.0,0.0,346664.80549327354
2004-06-01,0.0,0.0,0.0,324741.6275823562,0.0,0.0,324741.6275823562
2004-07-01,0.0,0.0,0.0,321263.8676227248,0.0,0.0,321263.8676227248
2004-08-01,0.0,0.0,0.0,319509.80033463467,0.0,0.0,319509.80033463467
2004-09-01,0.0,0.0,0.0,334085.5488424619,0.0,0.0,334085.5488424619
2004-10-01,0.0,0.0,0.0,342770.77573964495,0.0,0.0,342770.7757396449
2004-11-01,0.0,0.0,0.0,323617.73172103486,0.0,0.0,323617.73172103486
2004-12-01,0.0,0.0,0.0,337903.8927991337,0.0,0.0,337903.8927991337
2005-01-01,0.0,0.0,0.0,320554.52450188476,0.0,0.0,320554.5245018848
2005-02-01,0.0,0.0,0.0,324656.61915125133,0.0,0.0,324656.6191512513
2005-03-01,0.0,0.0,0.0,310718.2816032888,0.0,0.0,310718.2816032888
2005-04-01,0.0,0.0,0.0,551671.2510144927,0.0,0.0,551671.2510144927
2005-05-01,0.0,0.0,0.0,414617.99343544856,0.0,0.0,414617.9934354485
2005-06-01,0.0,0.0,0.0,398115.27554347826,0.0,0.0,398115.27554347826
2005-07-01,0.0,0.0,0.0,397474.2209677419,0.0,0.0,397474.22096774186
2005-08-01,0.0,0.0,0.0,373595.09617428266,0.0,0.0,373595.09617428266
2005-09-01,0.0,0.0,0.0,374335.1295392954,0.0,0.0,374335.1295392954
2005-10-01,0.0,0.0,0.0,378411.8785046729,0.0,0.0,378411.8785046729
2005-11-01,0.0,0.0,0.0,390061.22118551045,0.0,0.0,390061.22118551045
2005-12-01,0.0,0.0,0.0,452758.07124551514,0.0,0.0,452758.07124551525
2006-01-01,0.0,0.0,0.0,371010.8425487098,0.0,0.0,371010.84254870977
2006-02-01,0.0,0.0,0.0,368754.52291666664,0.0,0.0,368754.5229166666
2006-03-01,0.0,0.0,0.0,373957.3418367347,0.0,0.0,373957.3418367347
2006-04-01,0.0,0.0,0.0,533040.9119113573,0.0,0.0,533040.9119113573
2006-05-01,0.0,0.0,0.0,408702.652685422,0.0,0.0,408702.65268542204
2006-06-01,0.0,0.0,0.0,419414.2568218299,0.0,0.0,419414.25682182994
2006-07-01,0.0,0.0,0.0,407491.4879707113,0.0,0.0,407491.4879707113
2006-08-01,0.0,0.0,0.0,397933.696273609,0.0,0.0,397933.696273609
2006-09-01,0.0,0.0,0.0,408996.69295478443,0.0,0.0,408996.6929547844
2006-10-01,0.0,0.0,0.0,401901.6687763713,0.0,0.0,401901.66877637134
2006-11-01,0.0,0.0,0.0,418722.3579003181,0.0,0.0,418722.3579003181
2006-12-01,0.0,0.0,0.0,513500.8269733403,0.0,0.0,513500.8269733403
2007-01-01,0.0,0.0,0.0,414422.9569892473,0.0,301667.0,414365.2517911975
